"","X","Sp_name","Area_Wales","Area_Score","Area_Sp","WoodlandOpp_Sp","Areaforplanting","Wales_target","Coniferous_Woodland","Arable_Horticulture","Improved_Grassland","Neutral_Grassland","Calcareous_Grassland","Acid_grassland","Fen_Marsh_Swamp","Heather","Heather_grassland","Bog","Inland_Rock","Saltwater","Freshwater","Supralittoral_Rock","Supralittoral_Sediment","Littoral_Sediment","Saltmarsh","Urban","Suburban","Species"
"32",1,47,2078218,234839,2544715,234684,179881,180000,28.73,8072.86,144906.37,6848.23,2.37,4364.37,1189.65,32.09,546.19,3.14,98.21,4.64,316.45,8.57,272.93,2.22,393.46,695.58,12094.94,"Pipistrellus pipistrellus sstr"
"33",1,48,2078218,234839,2549372,234703,179896,180000,29.02,8073.49,144904.28,6852.73,2.46,4365.85,1195.47,32.23,545.39,2.95,98.76,4.76,315.83,8.72,273.48,2.37,391.77,696.7,12099.74,"Pipistrellus pygmaeus"
"34",1,49,2078218,234839,2549381,234703,179896,180000,29.01,8073,144905.85,6850.01,2.43,4365.86,1192.06,31.96,544.4,3.06,99.74,4.66,316.06,8.77,273.82,2.28,392.33,695.25,12105.45,"Plecotus auritus"
"35",1,4,2078218,234839,918610,42645,32687,180000,7.92,1372.87,27364.95,551.2,0,973.31,96.04,0,86.79,0,16.97,4.66,59.53,5.47,30.11,0,55.01,95.27,1966.9,"Barbastella barbastellus"
"36",1,51,2078218,234839,2348187,201870,154730,180000,27.27,7535.47,123333.21,6841.28,2.37,4278.14,1031.68,32.06,382.82,3,82.49,4.58,314.87,5.38,243.49,2.4,328.53,679.76,9601.2,"Rattus norvegicus"
"37",1,52,2078218,234839,1440321,121678,93264,180000,20.23,4840.05,75490.59,1017.4,2.46,2779.08,394.21,14.76,462.37,3.07,36.27,0,166.22,7.9,117.03,0,248.5,319.4,7344.46,"Rhinolophus ferrumequinum"
"38",1,53,2078218,234839,2357010,212028,162516,180000,29.07,7788.2,129438.14,6827.93,2.39,4331.77,1043.4,31.33,533.5,3.18,97.38,4.63,306.57,7.52,178.86,1.63,361.04,689.92,10839.54,"Rhinolophus hipposideros"
"39",1,54,2078218,234839,2462465,202562,155260,180000,27.92,7791.26,122772.83,6835.86,2.42,4371.55,450.54,21.97,447.7,3.07,81.9,4.95,307.49,8.46,154.06,0.76,345.81,696.23,10935.22,"Sciurus carolinensis 1995"
"40",1,55,2078218,234839,2460799,201935,154780,180000,27.79,7795.89,122302.82,6831.81,2.29,4371.01,449.64,22.18,448.82,3.01,81.29,4.71,309.54,8.69,155.14,0.7,343.35,696.26,10925.06,"Sciurus carolinensis 2005"
"41",1,56,2078218,234839,2446419,199515,152925,180000,28.23,7777.88,120540.79,6835.13,2.39,4371.38,436.28,21.91,448.88,3.21,80.49,4.66,306.56,8.55,154.13,0.73,343.3,695.99,10864.51,"Sciurus carolinensis 2010"
"42",1,57,2078218,234839,918156,76676,58771,180000,7.74,956.19,48852.07,2419.79,0,1582.54,759.42,14.89,67.34,3.15,58.27,4.65,23.43,0,145.26,2.47,103.83,201.23,3568.73,"Sciurus vulgaris 1995"
"43",1,58,2078218,234839,675403,54010,41398,180000,4.7,520.31,34579.76,2076.47,0,821.61,748.56,9.8,46.81,0,39.04,0,16.88,0,142.54,2.34,99.2,145.91,2144.07,"Sciurus vulgaris 2005"
"44",1,59,2078218,234839,350413,39100,29969,180000,0.7,141.55,26394.35,604.84,0,265.3,741.4,10.01,18.04,0,26.55,0,10.12,0,136.71,2.22,48.78,5.52,1562.91,"Sciurus vulgaris 2010"
"45",1,5,2078218,234839,237100,17321,13276,180000,0.72,162.02,10386.25,1198.98,0,369.98,51.71,0,53.28,0,29.45,0,7.82,0,33.87,0,121.84,14.62,845.46,"Capra aegagrus hircus"
"46",1,60,2078218,234839,2424241,217141,166435,180000,28.72,7869.17,132787.99,6859.11,2.35,4310.94,1146.27,31.33,531.29,3.01,90.55,4.78,316.11,7.55,261.91,2.2,389.7,695.2,11096.82,"Sorex araneus"
"47",1,61,2078218,234839,2351695,202770,155420,180000,28.4,7035.32,125122.91,5344.37,2.39,4256.22,1131.78,29.46,430.56,3.05,83.63,4.6,308.82,7.89,249.15,2.32,239.79,595.86,10543.48,"Sorex minutus"
"48",1,62,2078218,234839,49146,2409,1846,180000,2.31,224.51,1427.64,3.19,0,5.57,0,0,0,0,0,0,8.41,0,0,0,4.65,8.56,161.16,"Sus scrofa"
"49",1,63,2078218,234839,2549381,234703,179896,180000,28.85,8070.81,144919.45,6848.83,2.33,4370.72,1193.37,31.64,544.8,3.07,98.61,4.61,315.58,8.44,275.13,2.41,392.06,694.68,12090.61,"Talpa europaea"
"50",1,64,2078218,234839,2549381,234703,179896,180000,28.73,8073.74,144905.49,6852.77,2.28,4359.63,1193.93,31.99,544.82,3.12,98.28,4.7,315.31,8.51,274.07,2.35,392.78,695.34,12108.16,"Vulpes vulpes"
"51",1,6,2078218,234839,2157260,168531,129176,180000,26.56,6735.05,102703.24,6284.53,2.19,3870.23,235.42,24.8,137.97,3.04,73.44,4.63,299.66,5.51,45.66,0,257.58,619.7,7846.79,"Capreolus capreolus"
"52",1,8,2078218,234839,1104209,88410,67765,180000,8.57,2349.27,57838.26,283.32,0,1377.07,382.11,4.67,144.57,3.25,58.35,4.79,39.96,3.17,24.53,0,67.19,149.24,5026.68,"Cervus elaphus"
"53",1,9,2078218,234839,147678,11326,8681,180000,0,307.69,7466.46,2.46,0,0,59.92,0,54.96,0,0.77,0,0,3.15,8.8,0,26.96,2.37,747.46,"Cervus nippon"
